Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Aerob TE,Gennemsnitlig svømmekadence,Maksimum svømmekadence,Gennemsnitstempo,Bedste tempo,Samlet stigning,Samlet nedstigning,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Gennemsnitlig kontakt med jorden,Gennemsnitlig GCT-balance,Gennemsnitlig NJT,Normalized Power® (NP®),Training Stress Score®,Gennemsnitlig effekt,Maksimal effekt,Samlet antal svømmetag,Gennemsnitlig swolf,Gennemsnitlig hastighed for tag,Skridt,Samlet antal sæt,Afladning af Body Battery,Minimum temperatur,Dekompression,Tid for bedste omgang,Antal omgange,Maksimum temperatur,Gns. antal åndedrag,Min. antal åndedrag,Maks. antal åndedrag,Tid i bevægelse,Tidsforbrug,Minimum højde,Maksimal højde
Løb,2025-10-07 15:09:39,false,"Aarhus - Basis","11.01","865","1:01","154","177","3.6","165","211","5:27","2:36","15","11","1.12","10.3","11.8","262","51.5% V / 48.5% H","5:25","410","0.0","406","673","--","--","--","9,800","--","-11","--","Nej","00:00:01.7","4","--","32","17","42","00:59:50","01:00:02","-2","5"
Løb,2025-10-06 15:13:10,false,"Skanderborg - Restitution","5.01","393","0:29","151","164","2.7","164","178","5:43","4:33","22","20","1.06","10.2","11.0","276","51.7% V / 48.3% H","5:42","391","0.0","385","473","--","--","--","4,668","--","-6","--","Nej","00:00:05.3","2","--","31","13","38","00:28:38","00:28:39","39","47"
Løb,2025-10-05 17:09:13,false,"Skanderborg - Basis","9.25","727","0:51","158","172","3.4","166","181","5:28","4:15","64","63","1.10","10.1","11.3","267","51.9% V / 48.1% H","5:28","414","0.0","408","538","--","--","--","8,362","--","-6","--","Nej","00:22:56","2","--","32","14","41","00:50:33","00:50:34","39","68"
Løb,2025-10-05 08:29:23,false,"Skanderborg - Basis","12.01","975","1:06","165","178","3.8","167","187","5:26","4:18","80","76","1.09","9.8","10.9","264","51.4% V / 48.6% H","5:25","408","0.0","400","559","--","--","--","10,856","--","-20","--","Nej","00:15:33","3","--","38","21","57","01:05:18","01:06:48","33","71"
Løb terræn,2025-10-04 10:59:35,false,"Syddjurs Løb terræn","3.58","699","0:47","169","196","3.6","102","255","12:58","4:56","223","223","0.84","11.9","9.1","383","50.1% V / 49.9% H","12:01","329","0.0","199","1,230","--","--","--","4,224","--","-12","--","Nej","00:08:08.6","4","--","38","24","44","00:33:53","00:46:27","-7","52"
Løb,2025-10-03 15:39:34,false,"Skanderborg - Basis","5.01","390","0:27","158","169","3.0","164","171","5:17","4:33","35","28","1.16","10.2","12.1","261","51.0% V / 49.0% H","5:15","425","0.0","422","559","--","--","--","4,302","--","-5","--","Nej","00:00:03.2","2","--","33","16","46","00:26:26","00:26:27","37","48"
Styrketræning,2025-10-02 17:23:55,false,"Styrke","0.00","210","0:26","120","159","1.3","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","7","-2","--","Nej","00:25:55","1","--","25","13","38","00:18:04","00:25:55","--","--"
Løb,2025-10-02 16:15:11,false,"Skanderborg - Basis","11.02","859","0:59","159","180","3.6","167","182","5:20","4:14","73","65","1.12","10.1","11.6","258","51.8% V / 48.2% H","5:19","421","0.0","415","633","--","--","--","9,758","--","-11","--","Nej","00:11:59","3","--","35","25","47","00:58:44","00:59:00","35","70"
Gang,2025-10-02 12:41:06,false,"Skanderborg Gang","1.65","56","0:17","72","90","0.1","108","128","10:17","5:21","13","5","0.90","--","--","--","--","--","--","0.0","--","--","--","--","--","1,860","--","-1","--","Nej","00:06:21.3","2","--","--","--","--","00:15:55","00:17:18","38","46"
Svøm i pool,2025-10-01 19:13:23,false,"Svøm i pool","1,200","398","0:40","130","155","2.1","--","--","2:49","0:54","--","--","--","--","--","--","--","--","--","0.0","--","--","822","59","24","--","--","--","--","Nej","00:00:16","17","--","--","--","--","00:33:53","00:39:59","--","--"
